序号,动画,看完时间,第二次看完,状态,状态
450,格莱普尼尔,2023,,2,
451,3月的狮子,,,2,
452,全员恶玉,,,2,
453,Ｄｒ．ＳＴＯＮＥ 石纪元 特别篇：龙水,2022,,2,
454,萌妻食神,,,2,
455,Concrete Revolutio 超人幻想 第二季,,,2,
456,请问您今天要来点兔子吗？？,,,2,
457,Concrete Revolutio 超人幻想 第一季,,,2,
458,岸边露伴 一动也不动,,,2,
459,JOJO的奇妙冒险 黄金之风,,,2,
460,JOJO的奇妙冒险 不灭钻石,,,2,
461,凉宫春日的忧郁 2009,,,2,
462,凉宫春日的忧郁 2006,,,2,
463,JOJO的奇妙冒险 星尘远征军 埃及篇,,,2,
464,JOJO的奇妙冒险 星尘远征军,,,2,
465,在盛夏等待,,,2,
466,汉化日记 第三季,,,2,
467,百妖谱·京师篇,2022,,2,
468,我们无法一起学习！,,,2,
469,这爱情有点奇怪,,,2,
470,指名！,,,1,
471,虫师,,,2,
472,归宅部活动记录,,,2,
473,终结的炽天使 名古屋决战篇,2018,,2,
474,终结的炽天使,2018,,2,
475,小森同学拒绝不了！,2023,,2,
476,学园孤岛,2022,,2,
477,邻座的怪同学,2022,,2,
478,魁拔妖侠传,2018,,2,
479,邻座的怪同学 OAD,2022,,2,
480,君吻Pure Rouge,2022,,2,
481,小魔女学园 TV版,2022,,2,
482,式守同学不只可爱而已,2022,,2,
483,强风吹拂,2023,,2,
484,命运-冠位指定 绝对魔兽战线 巴比伦尼亚,,,2,
485,小魔女学园,2022,,2,
486,蔚蓝反射 澪,2023,,2,
487,白沙的水族馆,2022,,2,
488,魔法使黎明期,,,2,
489,我们无法一起学习,2022,,2,
490,公主连结 与你重逢 第二季,,,2,
491,魔法纪录 魔法少女小圆外传 第二季,,,2,
492,魔法纪录 魔法少女小圆外传,,,2,
493,白色相簿 下半篇章,2022,,2,
494,白色相簿 上半篇章,2022,,2,
495,少女☆歌剧 Revue Starlight,,,2,
496,LOST SONG 失落的歌谣,,,2,
497,暂停！让我查攻略,2022,,2,
498,Love Live！虹咲学园学园偶像同好会,,,2,
499,生日乐园,,,2,
500,开挂药师的奇幻世界悠闲生活,,,2,
501,宿命回响：命运节拍,2022,,2,
502,转生成为了只有乙女游戏破灭Flag的邪恶大小姐 第二季,,,2,
503,来自深渊 深沉灵魂的黎明,2022,,2,
504,来自深渊 剧场版总集篇,2022,,2,
505,盾之勇者成名录 第二季,2023,,2,
506,盾之勇者成名录,2023,,2,
507,请问您今天要来点兔子吗？,,,2,
508,无能力者娜娜,,,2,
509,君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,2019,,2,
510,失忆症 SP,,,2,
511,失忆症,,,2,
512,碧蓝航线,,,2,
513,工作细胞BLACK,,,2,
514,碧蓝航线：微速前行！,,,2,
515,JOJO的奇妙冒险,,,2,
516,秘密内幕 女警的反击,,,2,
517,一个人的〇〇小日子,,,2,
518,OVERLORD Ⅱ,,,2,
519,吹响吧！上低音号～誓言的终章～,,,2,
520,旅街LateShow,,,2,
521,此花亭奇谭（中配）,,,2,
522,剧场版总集篇 OVERLORD 不死者之王,,,2,
523,剧场版总集篇 OVERLORD 漆黑的英雄,,,2,
524,OVERLORD SP,,,2,
525,辉夜大小姐想让我告白 -究极浪漫-,,,2,
526,你是彼方,,,2,
527,理科生坠入情网，故尝试证明。 中配版,,,2,
528,少女编号,,,2,
529,齐木楠雄的灾难 完结篇,,,2,
530,齐木楠雄的灾难 始动篇,,,2,
531,齐木楠雄的灾难 第二季,,,2,
532,奇诺之旅 疾病之国 -For You-,2022,,2,
533,奇诺之旅 塔之国 -Free Lance-,2022,,2,
534,奇诺之旅 活着的目标 -life goes on.-,2022,,2,
535,奇诺之旅（2017）,2022,,2,
536,约会大作战 第四季,,,2,
537,玉子爱情故事,,,2,
538,SOLA,,,2,
539,时空之隙,2023,,2,
540,围棋少年,2021,,2,
541,颠倒的帕特玛,,,2,
542,少年歌行 风花雪月篇,,,2,
543,学园偶像?阳光!! 第二季,,,2,
544,夏日幻魂,,,2,
545,鬼灭之刃 游郭篇,,,2,
546,龙蛇演义,,,2,
547,学园偶像?阳光!!,,,2,
548,虹猫蓝兔勇者归来,,,2,
549,Anne Happy,,,2,
550,死灵编码,,,2,
551,千从狩,2022,,2,
552,URARA迷路帖,,,2,
553,纯情房东俏房客 Again,,,2,
554,虹猫蓝兔光明剑,,,2,
555,Love Live! School Idol Project（第二季）,,,2,
556,望古神话之天选者,,,2,
557,记忆沉睡的孩子 奔向天空的摇篮,,,2,
558,国王排名,2022,,2,
559,Love Live! School Idol Project,,,2,
560,校园理想乡 学美向前冲！,2022,,2,
561,小林家的龙女仆 第二季,,,2,
562,电波女与青春男,,,2,
563,一起一起这里那里,,,2,
564,阳光中的青时雨,,,2,
